County,Total population,White Number,White perc,White median income,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,other race,Hispanic or Latino origin (of any race)
        Estimate,"29,313","29,468",,,"25,767","37,300","26,950",-,"23,479","28,473"
"Marshall County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"35,276","30,905",,,"1,447",79,234,0,902,"2,402"
    Percent Distribution,,,,,,,,,,
        Estimate,"35,276",87.60%,,,4.10%,0.20%,0.70%,0.00%,2.60%,6.80%
    Mean income (dollars),,,,,,,,,,
        Estimate,"35,984","38,196",,,"22,402","18,196","27,330",-,"17,691","18,969"
"Maury County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"104,855","83,962",,,"11,099",286,999,13,"1,141","8,178"
    Percent Distribution,,,,,,,,,,
        Estimate,"104,855",80.10%,,,10.60%,0.30%,1.00%,0.00%,1.10%,7.80%
    Mean income (dollars),,,,,,,,,,
        Estimate,"37,158","39,739",,,"28,532","15,881","33,069",N,"22,084","26,875"
"Meigs County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"13,076","11,865",,,304,25,63,0,60,131
    Percent Distribution,,,,,,,,,,
        Estimate,"13,076",90.70%,,,2.30%,0.20%,0.50%,0.00%,0.50%,1.00%
    Mean income (dollars),,,,,,,,,,
        Estimate,"30,197","31,009",,,"16,854",N,"58,932",-,"34,370","36,063"
"Monroe County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"47,054","41,881",,,870,145,202,0,734,"2,095"
    Percent Distribution,,,,,,,,,,
        Estimate,"47,054",89.00%,,,1.80%,0.30%,0.40%,0.00%,1.60%,4.50%
    Mean income (dollars),,,,,,,,,,
        Estimate,"29,107","30,004",,,"22,502","12,957","61,237",-,"21,788","21,736"
"Montgomery County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"227,957","146,530",,,"45,621",757,"5,703",608,"5,283","25,020"
    Percent Distribution,,,,,,,,,,
        Estimate,"227,957",64.30%,,,20.00%,0.30%,2.50%,0.30%,2.30%,11.00%
    Mean income (dollars),,,,,,,,,,
        Estimate,"33,645","37,128",,,"30,221","36,726","35,769","21,222","24,512","24,856"
"Moore County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"6,611","6,096",,,195,26,27,1,84,109
    Percent Distribution,,,,,,,,,,
        Estimate,"6,611",92.20%,,,2.90%,0.40%,0.40%,0.00%,1.30%,1.60%
    Mean income (dollars),,,,,,,,,,
        Estimate,"37,193","38,086",,,"13,838","39,119",N,N,"43,906","39,313"
"Morgan County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"21,193","19,625",,,974,18,42,5,139,378
    Percent Distribution,,,,,,,,,,
        Estimate,"21,193",92.60%,,,4.60%,0.10%,0.20%,0.00%,0.70%,1.80%
    Mean income (dollars),,,,,,,,,,
        Estimate,"30,576","32,004",,,"6,016",N,N,-,N,"9,882"
"Obion County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"30,570","24,503",,,"3,226",34,69,40,675,"1,614"
    Percent Distribution,,,,,,,,,,
        Estimate,"30,570",80.20%,,,10.60%,0.10%,0.20%,0.10%,2.20%,5.30%
    Mean income (dollars),,,,,,,,,,
        Estimate,"29,891","32,935",,,"20,967","17,744","54,554",N,"16,426","12,346"
"Overton County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"22,807","21,879",,,314,19,63,10,72,454
    Percent Distribution,,,,,,,,,,
        Estimate,"22,807",95.90%,,,1.40%,0.10%,0.30%,0.00%,0.30%,2.00%
    Mean income (dollars),,,,,,,,,,
        Estimate,"30,191","30,664",,,"12,460","43,663","33,183",-,"18,974","23,116"
"Perry County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"8,561","7,896",,,43,46,108,0,30,243
    Percent Distribution,,,,,,,,,,
        Estimate,"8,561",92.20%,,,0.50%,0.50%,1.30%,0.00%,0.40%,2.80%
    Mean income (dollars),,,,,,,,,,
        Estimate,"25,563","25,887",,,N,N,"12,959",-,N,"23,424"
"Pickett County, Tennessee",,,,,,,,,,
    Number,,,,,,,,,,
        Estimate,"5,062","4,858",,,18,5,0,0,4,41
    Percent Distribution,,,,,,,,,,
