county,median_income,hispanic_pct,black_pct,poverty_pct,ba_plus_pct,county_fips,year,urban_rural
Wilson,94048,1.1,0.6,7.6,37.2,47189,2023,Rural
Anderson,55414,3.2,3.1,15.4,24.4,47001,2021,Urban
Anderson,60633,3.6,96.6,15.4,24.5,47001,2022,Urban
Blount,64593,3.7,2.4,9.5,25.4,47009,2021,Urban
Bradley,55426,6.7,4.6,14.2,22.9,47011,2021,Urban
Carter,44280,2.1,1.9,19,19.5,47019,2021,Urban
Davidson,66047,10.4,26.4,14.3,44.4,47037,2021,Urban
Hamblen,45275,12,3.4,17.2,18,47063,2021,Urban
Hamilton,61050,6,18.3,12.7,34.1,47065,2021,Urban
Knox,62911,4.6,8.4,12.7,38.8,47093,2021,Urban
Loudon,66151,9.4,1.2,12.2,28.2,47105,2021,Urban
Madison,51526,4.1,36.9,18.7,27,47113,2021,Urban
Montgomery,63768,10.5,19.1,12.1,29.9,47125,2021,Urban
Rutherford,72985,8.7,15,10.2,33.5,47149,2021,Urban
Shelby,55015,6.6,53.6,18.6,33.3,47157,2021,Urban
Sullivan,49661,2.1,1.8,15.6,25.7,47163,2021,Urban
Sumner,73517,5.4,8,9.8,29.8,47165,2021,Urban
Van,44444,1.1,0.1,17.3,10,47175,2021,
Washington,52503,3.7,3.9,15.3,33.1,47179,2021,Urban
Williamson,116492,5,4,3.9,61.9,47187,2021,Urban
Blount,70935,2.8,96.2,8.6,26,47009,2022,Urban
Bradley,60692,5.4,93.1,13.4,23.9,47011,2022,Urban
Carter,47994,1.4,97.3,18.1,21.1,47019,2022,Urban
Davidson,71863,7.2,89.4,14.3,46,47037,2022,Urban
Hamblen,49656,6.8,87.7,17.1,18.8,47063,2022,Urban
Hamilton,69069,4.4,93.8,12.3,35.5,47065,2022,Urban
Knox,68580,3.5,95.2,12.4,39.2,47093,2022,Urban
Loudon,75008,6.1,90.4,11.8,28.4,47105,2022,Urban
Madison,55280,3.5,95.7,18.2,25.9,47113,2022,Urban
Montgomery,67890,5.3,89.3,11.9,30.4,47125,2022,Urban
Rutherford,78291,5.9,90.9,9.8,33.4,47149,2022,Urban
Shelby,59621,4.7,93.2,18.1,33.8,47157,2022,Urban
Sullivan,54357,1.8,97.8,15.2,26.3,47163,2022,Urban
Sumner,81883,5.4,94.3,9.4,31.2,47165,2022,Urban
Van,44730,1.1,99.1,17,10.2,47175,2022,
Washington,58507,2.8,96.1,15.7,33.4,47179,2022,Urban
Williamson,125943,3.8,94.9,4.2,62,47187,2022,Urban
Anderson,63171,1.6,0.3,14.8,26.3,47001,2023,Urban
Blount,74607,1,0.3,8.9,26.8,47009,2023,Urban
Bradley,63789,1.2,1.3,13.1,24.6,47011,2023,Urban
Carter,48435,1,0.2,18,20.7,47019,2023,Urban
Davidson,75664,1.3,0.7,13.9,47.3,47037,2023,Urban
Hamblen,52794,1.1,1.1,17.2,20.1,47063,2023,Urban
Hamilton,72568,1.1,0.6,12.5,37,47065,2023,Urban
Knox,71662,1.1,0.5,12.2,40.2,47093,2023,Urban
Loudon,80296,1.1,0.6,12.6,28.6,47105,2023,Urban
Madison,58189,1.8,0.3,18.6,26,47113,2023,Urban
Montgomery,72365,2.3,2.8,11.6,31.7,47125,2023,Urban
Rutherford,82588,1,1.1,9.2,34.4,47149,2023,Urban
Shelby,62337,1,0.3,17.5,34.2,47157,2023,Urban
Sullivan,56802,0.9,0.3,14.9,26.6,47163,2023,Urban
Sumner,86005,1,0.8,9,32.6,47165,2023,Urban
Van,60281,3.8,0.2,13.8,14,47175,2023,
Washington,61051,1,0.4,15.8,33.5,47179,2023,Urban
Williamson,131202,1,0.6,4.5,61.8,47187,2023,Urban
