County,Total population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,other race,Hispanic or Latino origin (of any race)
    Mean income (dollars),,,,,,,,
        Estimate,"29,419","30,187","24,541","10,098","46,447",-,"22,713","19,931"
"Rhea County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"33,031","29,883",568,33,312,0,770,"1,818"
    Percent Distribution,,,,,,,,
        Estimate,"33,031",90.50%,1.70%,0.10%,0.90%,0.00%,2.30%,5.50%
    Mean income (dollars),,,,,,,,
        Estimate,"26,678","27,412","25,558",N,"8,111",-,"30,326","19,136"
"Roane County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"53,777","49,424","1,450",217,354,17,187,"1,201"
    Percent Distribution,,,,,,,,
        Estimate,"53,777",91.90%,2.70%,0.40%,0.70%,0.00%,0.30%,2.20%
    Mean income (dollars),,,,,,,,
        Estimate,"36,579","37,117","34,930","9,776","43,292",N,"24,941","21,951"
"Robertson County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"73,297","61,202","5,263",133,524,2,"3,115","5,636"
    Percent Distribution,,,,,,,,
        Estimate,"73,297",83.50%,7.20%,0.20%,0.70%,0.00%,4.20%,7.70%
    Mean income (dollars),,,,,,,,
        Estimate,"35,093","37,354","29,381","35,692","28,311",-,"18,850","18,819"
"Rutherford County, Tennessee",,,,,,,,
    Number,,,,,,,,
        Estimate,"343,727","244,580","52,366",498,"12,520",452,"10,210","31,382"
    Percent Distribution,,,,,,,,
        Estimate,"343,727",71.20%,15.20%,0.10%,3.60%,0.10%,3.00%,9.10%
